Index,One,Life_Expectancy,Status,Adult_Mortality,Infant_Deaths,Hepatitis_B,BMI,Under_Five_Deaths,Polio,Diphtheria,HIV_AIDS,GDP,Population,Income_Composition_of_Resources,Schooling
1,1,65,Developing,263,62,65,19.1,83,6,65,0.1,584.25921,33736494,0.479,10.1
2,1,77.8,Developing,74,0,99,58,0,99,99,0.1,3954.22783,28873,0.762,14.2
3,1,75.6,Developing,19,21,95,59.5,24,95,95,0.1,4132.76292,39871528,0.743,14.4
4,1,52.4,Developing,335,66,64,23.3,98,7,64,1.9,3695.793748,2785935,0.531,11.4
5,1,76.4,Developing,13,0,99,47.7,0,86,99,0.2,13566.9541,,0.784,13.9
6,1,76.3,Developing,116,8,94,62.8,9,93,94,0.1,13467.1236,43417765,0.826,17.3
7,1,74.8,Developing,118,1,94,54.9,1,96,94,0.1,369.654776,291695,0.741,12.7
8,1,82.8,Developed,59,1,93,66.6,1,93,93,0.1,56554.3876,23789338,0.937,20.4
9,1,81.5,Developed,65,0,93,57.6,0,93,93,0.1,43665.947,8633169,0.892,15.9
10,1,72.7,Developing,118,5,96,52.5,6,98,96,0.1,55.31382,9649341,0.758,12.7
11,1,76.1,Developing,147,0,95,64.5,0,95,95,0.1,,,0.79,12.6
12,1,76.9,Developing,69,0,98,63.6,0,98,98,0.1,22688.87824,,0.823,14.5
13,1,71.8,Developing,129,92,97,18.3,113,97,97,0.1,121.15812,1612886,0.575,10.2
14,1,75.5,Developing,98,0,97,54.5,0,97,97,0.1,15557.8381,,0.794,15.3
15,1,72.3,Developing,196,0,99,62.3,0,99,99,0.1,5949.11677,9489616,0.798,15.6
16,1,81.1,Developed,74,0,98,63.7,1,99,99,0.1,4356.875,11274196,0.895,16.6
17,1,71,Developing,175,0,94,5.9,0,94,94,0.2,4849.997495,359288,0.706,12.8
18,1,60,Developing,249,25,82,25.7,39,78,82,1,783.94791,1575952,0.481,10.7
19,1,69.8,Developing,211,0,99,24.5,0,98,99,0.5,2613.645177,787386,0.604,12.5
20,1,77,Developing,186,8,99,52.6,10,99,99,0.1,,,0.671,13.8
21,1,77.4,Developing,88,0,82,55.8,0,74,82,0.1,4574.9787,3535961,0.747,14.2
22,1,65.7,Developing,256,2,95,37.9,2,96,95,2.2,6532.651,229197,0.698,12.6
23,1,75,Developing,142,42,96,56.1,47,98,96,0.1,8757.2622,2596218,0.754,15.2
24,1,77.7,Developing,78,0,99,41.2,0,99,99,0.1,3967.8951,,0.864,14.9
25,1,74.5,Developed,137,0,92,65.7,1,91,91,0.1,6993.47736,7177991,0.792,15
26,1,59.9,Developing,26,38,91,19.4,61,91,91,0.6,615.592225,1811624,0.399,7.7
27,1,59.6,Developing,288,21,94,18.7,31,94,94,0.7,33.681223,119927,0.406,10.6
28,1,53.3,Developing,397,57,83,28,79,81,83,1.9,,,,
29,1,73.3,Developing,114,0,96,31.3,0,93,93,0.2,2954.119467,532913,0.646,13.5
30,1,68.7,Developing,174,10,89,19.6,12,87,89,0.2,1163.18977,15517635,0.558,10.9
31,1,57.3,Developing,357,45,84,29,68,83,84,3.5,1244.429421,22834522,0.514,10.4
32,1,82.2,Developing,64,2,55,67,2,91,91,0.1,43315.744,3584861,0.919,16.3
33,1,52.5,Developing,397,15,47,22.7,21,47,47,4.4,348.381417,45461,0.347,7.1
34,1,53.1,Developing,356,46,46,19.1,77,52,46,2.8,777.248751,149413,0.394,7.3
35,1,85,Developing,82,2,97,63.8,2,96,96,0.1,13653.2264,17762681,0.845,16.3
36,1,76.1,Developing,85,157,99,32.9,183,99,99,0.1,869.211938,137122,0.734,13.5
37,1,74.8,Developing,143,10,91,57.9,12,91,91,0.1,644.525556,48228697,0.724,13.6
38,1,63.5,Developing,227,1,91,24.2,2,92,91,0.8,727.6463868,777424,0.498,11.1
39,1,64.7,Developing,267,7,8,27.4,10,8,8,2.8,,,0.59,11.1
40,1,79.6,Developing,95,1,92,6.5,1,92,92,0.1,1146.36273,487852,0.775,14.2
41,1,78,Developed,95,0,94,63.7,0,94,94,0.1,11579.6674,42364,0.823,15.3
42,1,79.1,Developing,92,1,99,61.4,1,99,99,0.1,762.261218,,0.773,13.9
43,1,85,Developed,52,0,97,6.3,0,97,97,0.1,2375.1127,116985,0.854,14.3
44,1,78.8,Developed,86,0,97,66.1,0,97,97,0.1,,,,
45,1,76,Developing,139,6,96,32.9,7,99,96,0.1,,,,
46,1,59.8,Developing,258,236,81,21.6,308,78,81,1.1,,,,
47,1,86,Developed,71,0,,58.8,0,93,93,0.1,5314.64416,5683483,0.923,19.2
48,1,63.5,Developing,241,1,84,35,1,84,84,2.1,1862.167274,927414,0.47,6.3
49,1,73.9,Developing,152,6,81,58.9,7,87,85,0.3,6468.471648,1528394,0.718,13.2
50,1,76.2,Developing,118,6,78,54.2,7,84,78,0.1,625.62224,16144368,0.739,14
51,1,79,Developing,159,51,93,61.1,60,93,93,0.1,,,0.688,13.1
52,1,73.5,Developing,178,2,91,56.1,2,92,91,0.2,4127.11775,6312478,0.678,13.2
53,1,58.2,Developing,32,3,16,24.5,4,17,16,4.2,1347.31257,1175389,0.582,9.2
54,1,64.7,Developing,255,5,95,18.6,7,95,95,0.4,,,0.418,5
55,1,77.6,Developing,119,0,91,59.9,0,93,93,0.1,1774.9291,131547,0.863,16.5
56,1,64.8,Developing,225,136,77,17.6,194,75,77,0.6,645.4637627,9987333,0.441,8.4
57,1,69.9,Developing,188,0,99,62.7,0,99,99,0.1,4921.89629,892149,0.734,15.3
58,1,81.1,Developing,76,0,,62.1,0,97,97,0.1,4245.39744,5479531,0.893,17
59,1,82.4,Developing,78,2,86,62.5,3,98,98,0.1,36526.7711,6662468,0.894,16.3
60,1,66,Developing,229,2,8,36.3,3,79,8,2.7,7388.984144,193175,0.694,12.6
61,1,61.1,Developing,262,3,97,27.3,5,96,97,1.7,,,0.45,8.9
62,1,74.4,Developing,129,1,94,56.2,1,91,94,0.1,3764.64912,37171,0.768,13.9
63,1,81,Developed,68,2,88,62.3,3,94,95,0.1,41176.88158,81686611,0.924,17.1
64,1,62.4,Developing,249,37,88,28.6,52,88,88,0.7,1361.11395,27582821,0.575,11.4
65,1,81,Developing,72,0,96,66.5,0,99,99,0.1,187.78991,182883,0.865,17.2
66,1,73.6,Developing,142,0,92,48.4,0,99,92,0.1,9212.192824,,0.751,15.8
67,1,71.9,Developing,186,10,74,5.6,12,9,74,0.4,3923.573344,16252429,0.637,10.7
68,1,59,Developing,284,26,54,23.3,40,42,54,0.5,554.48766,1291533,0.414,8.8
69,1,58.9,Developing,275,4,87,26.3,6,87,87,3.2,596.8717189,177526,0.421,9.2
70,1,66.2,Developing,215,0,95,46.7,1,92,95,0.3,4136.689919,768514,0.638,10.3
71,1,63.5,Developing,24,14,6,49.9,18,56,6,0.5,814.5463952,171161,0.49,9.1
72,1,74.6,Developing,147,3,97,51,4,97,97,0.3,2326.15856,896829,0.623,11.2
73,1,75.8,Developed,134,0,,64.8,0,99,99,0.1,12365.6263,984328,0.834,15.6
74,1,82.7,Developed,49,0,,61,0,92,92,0.1,5734.4436,33815,0.919,19
75,1,68.3,Developing,181,910,87,18.7,1100,86,87,0.2,1613.18878,1395398,0.615,11.6
76,1,69.1,Developing,176,114,78,27.4,136,8,78,0.3,3336.16686,258162113,0.686,12.9
77,1,75.5,Developing,83,18,98,59.7,21,98,98,0.1,,,0.774,14.8
78,1,68.9,Developing,182,32,56,59.1,38,63,58,0.1,4974.2693,36115649,0.649,10.1
79,1,81.4,Developed,64,0,95,62.8,0,95,95,0.1,6664.144,4676835,0.92,18.6
80,1,82.5,Developing,58,0,96,64.9,1,95,95,0.1,35729.37253,8381,0.898,16
81,1,82.7,Developed,56,1,93,63.6,2,93,93,0.1,349.14755,673582,0.881,16.3
82,1,76.2,Developing,125,1,91,54.2,1,91,91,0.5,4965.989857,2871934,0.729,12.8
83,1,83.7,Developed,55,2,,29,3,99,96,0.1,34474.13736,127141,0.902,15.3
84,1,74.1,Developing,112,4,99,65.6,4,99,99,0.1,496.99275,915932,0.741,13.1
85,1,72,Developing,198,4,98,53.1,5,98,98,0.1,159.9817,17544126,0.793,15
86,1,63.4,Developing,249,54,89,22,75,83,89,2.8,1349.97144,47236259,0.55,11.1
87,1,66.3,Developing,198,0,82,77.6,0,8,78,0.1,1424.483611,11247,0.586,11.9
88,1,74.7,Developing,81,0,99,71.4,1,99,99,0.1,28975.418,,0.799,13.3
89,1,71.1,Developing,166,3,97,44.9,3,97,97,0.1,,,0.662,13
90,1,65.7,Developing,194,8,89,21.7,11,89,89,0.2,,,0.582,10.8
91,1,74.6,Developed,153,0,94,61.2,0,95,95,0.1,13666.58336,1977527,0.828,16
92,1,74.9,Developing,98,1,81,66.1,1,75,81,0.1,846.632851,5851479,0.763,13.3
93,1,53.7,Developing,484,4,93,32.6,6,9,93,9.3,173.82893,2174645,0.495,10.7
94,1,61.4,Developing,259,8,52,27.3,11,52,52,0.9,452.38717,4499621,0.427,9.9
95,1,72.7,Developing,138,1,97,64.8,2,97,97,0.1,,,0.719,13.4
96,1,73.6,Developed,165,0,94,62.4,0,93,93,0.1,14252.42853,29491,0.846,16.5
97,1,82,Developed,63,0,94,61.3,0,99,99,0.1,1199.8223,56964,0.896,13.9
98,1,65.5,Developing,22,28,69,2.5,38,71,69,0.3,41.8575951,2423488,0.511,10.3
99,1,58.3,Developing,365,26,88,19.6,38,88,88,4.8,362.6575444,1757367,0.473,10.8
100,1,75,Developing,123,4,99,4.6,4,99,99,0.1,9643.644683,3723155,0.787,13.1
101,1,78.5,Developing,61,0,99,27.4,0,99,99,0.1,8395.785198,49163,0.701,12.7
102,1,58.2,Developing,266,52,64,23.8,84,66,64,1.5,729.725338,1746795,0.438,8.4
103,1,81.7,Developed,54,0,95,69.6,0,97,97,0.1,23819.4636,431874,0.853,14.6
104,1,63.1,Developing,25,8,73,3.8,12,67,73,0.9,1158.256469,4182341,0.513,8.5
105,1,74.6,Developing,146,0,97,33.3,0,98,97,0.1,9252.11724,126265,0.779,15.2
106,1,76.7,Developing,122,30,82,63.5,35,87,87,0.1,9143.128494,12589949,0.758,13.3
107,1,69.4,Developing,166,0,78,69.4,0,71,72,0.1,,,0.637,11.7
108,1,68.8,Developing,222,1,99,52.7,1,99,99,0.1,3944.1839,2976877,0.733,14.8
109,1,76.1,Developing,16,0,82,61.8,0,89,89,0.1,6461.192554,622159,0.804,15.1
110,1,74.3,Developing,95,17,99,58.5,20,99,99,0.1,2847.285569,3483322,0.645,12.1
111,1,57.6,Developing,355,60,8,22.6,81,8,8,3.9,528.3125597,281691,0.414,9.1
112,1,66.6,Developing,199,39,89,23.8,50,89,89,0.3,1194.59137,5243669,0.552,9.1
113,1,65.8,Developing,248,2,92,35.7,3,92,92,2.1,4737.66996,2425561,0.637,11.7
114,1,69.2,Developing,165,17,91,19.1,21,9,91,0.1,743.7653489,28656282,0.555,12.2
115,1,81.9,Developed,57,1,94,62.1,1,95,95,0.1,44292.88473,16939923,0.923,18.1
116,1,81.6,Developed,66,0,92,67.5,0,92,92,0.1,3821.8937,,0.913,19.2
117,1,74.8,Developing,145,2,98,54,2,99,98,0.1,295.966488,68235,0.642,11.7
118,1,61.8,Developing,22,49,65,19.3,87,65,65,0.4,358.99731,19896965,0.351,5.4
119,1,54.5,Developing,344,483,49,25.4,747,49,49,3.7,2655.157977,181181744,0.525,10
120,1,81.8,Developed,59,0,,61.2,0,95,95,0.1,7455.24654,518867,0.948,17.7
121,1,76.6,Developing,99,1,99,54.6,1,99,99,0.1,16627.36433,,0.795,13.7
122,1,66.4,Developing,161,352,72,25.4,433,72,72,0.1,1431.244865,18938513,0.548,8.1
123,1,77.8,Developing,118,1,73,57.8,1,72,73,0.1,13134.4367,3969249,0.785,13
124,1,62.9,Developing,275,10,67,48.6,12,74,73,0.6,,7919825,0.515,10
125,1,74,Developing,146,2,93,5.2,3,89,93,0.2,419.367724,6639119,0.692,12.3
126,1,75.5,Developing,123,8,9,55.6,10,88,9,0.1,63.343259,31376671,0.737,13.4
127,1,68.5,Developing,211,52,6,25.4,66,79,6,0.1,2878.33837,11716359,0.679,11.7
128,1,77.5,Developed,117,2,96,61.7,2,92,98,0.1,12565.9876,37986412,0.852,16.4
129,1,81.1,Developed,76,0,98,61.6,0,98,98,0.1,1922.681,135876,0.841,16.6
130,1,78.2,Developing,68,0,99,69.3,0,99,99,0.1,66346.52267,,0.855,13.4
131,1,82.3,Developing,64,1,98,31.7,2,98,98,0.1,,,,
132,1,72.1,Developing,157,1,88,53.4,1,88,87,0.1,,,,
133,1,75,Developed,133,2,9,6.7,2,89,89,0.1,8958.788593,19815481,0.798,14.7
134,1,75,Developing,222,13,97,6.5,15,97,97,0.1,9329.298351,1449687,0.805,15
135,1,66.1,Developing,227,11,98,21.4,15,99,98,0.4,71.348397,11629553,0.493,10.8
136,1,75.2,Developing,138,0,99,47.5,0,99,99,0.1,,,0.735,13.1
137,1,73.2,Developing,156,0,98,54.1,0,97,98,0.1,,,0.72,13.3
138,1,74,Developing,125,0,59,74.7,0,61,66,0.1,4149.363444,193759,0.702,12.9
139,1,67.5,Developing,19,0,96,3.9,0,96,96,0.2,1624.63963,195553,0.565,11.2
140,1,74.5,Developing,88,7,98,68.2,8,97,98,0.1,2732.86172,,0.845,16.1
141,1,66.7,Developing,188,19,89,24.3,26,85,89,0.3,98.7256145,14976994,0.491,9.5
142,1,75.6,Developing,121,1,94,6,1,95,95,0.1,5237.255334,795383,0.775,14.4
143,1,73.2,Developing,168,0,98,37.4,0,97,97,0.1,1539.464,93419,0.781,14.1
144,1,51,Developing,413,22,86,24.4,30,86,86,0.5,587.538233,723725,0.431,9.5
145,1,83.1,Developed,55,0,96,33.2,0,96,96,0.1,53629.73746,,0.924,15.4
146,1,76.7,Developed,19,0,96,59.1,0,96,96,0.1,,,0.842,15
147,1,88,Developed,74,0,,6.1,0,95,95,0.1,2729.86383,263531,0.888,17.3
148,1,69.2,Developing,177,0,98,5.5,0,99,98,0.1,1922.41388,587482,0.514,9.6
149,1,55,Developing,312,50,42,24.3,80,47,42,0.7,426.98537,,,
150,1,62.9,Developing,328,42,75,51.1,52,75,75,3.6,5769.77258,5511976.68,0.665,13
151,1,57.3,Developing,332,26,31,,39,41,31,3.4,758.725782,11882136,0.421,4.9
152,1,82.8,Developed,56,1,97,66.6,1,97,97,0.1,25683.84565,46447697,0.882,17.7
153,1,74.9,Developing,138,3,99,23.4,3,99,99,0.1,3844.89123,2966,0.764,14
154,1,64.1,Developing,225,58,93,,85,93,93,0.3,2513.884661,3864783,0.488,7.2
155,1,71.6,Developing,176,0,89,58.3,0,89,89,0.4,8818.982566,55328,0.723,12.7
156,1,58.9,Developing,373,2,9,32.3,3,84,9,7.1,3136.92511,131911,0.541,11.4
157,1,82.4,Developed,53,0,67,59.5,0,98,98,0.1,5585.25847,9799186,0.909,15.9
158,1,83.4,Developed,49,0,,57.4,0,97,97,0.1,8989.8424,8282396,0.938,16
159,1,64.5,Developing,293,6,41,57.1,8,5,41,0.1,,18734987,0.553,9
160,1,69.7,Developing,161,10,96,4.7,11,96,96,0.2,918.6771543,8548651,0.625,11.3
161,1,74.9,Developing,148,8,99,33.6,9,99,99,0.1,5814.863134,686576,0.738,13.6
162,1,75.7,Developing,12,0,92,6.3,0,92,91,0.1,,,0.746,12.9
163,1,68.3,Developing,152,2,76,17.4,2,75,76,0.1,1161.76935,124977,0.603,12.5
164,1,59.9,Developing,287,13,88,24.3,20,88,88,1,551.138346,741682,0.484,12
165,1,73.5,Developing,133,0,78,75.2,0,8,78,0.1,493.775387,16364,0.718,14.3
166,1,71.2,Developing,17,0,9,47.1,0,88,96,0.3,17321.83373,13692,0.779,12.7
167,1,75.3,Developing,1,3,98,61.2,3,98,98,0.1,3828.91589,11273661,0.723,14.6
168,1,75.8,Developing,16,15,97,66.1,18,97,97,0.1,1979.52569,78271472,0.764,14.5
169,1,66.3,Developing,215,6,99,48.6,7,99,99,0.1,6432.668768,5565284,0.688,10.8
170,1,62.3,Developing,291,66,78,18.5,93,82,78,3.1,693.8963829,414487,0.488,10
171,1,71.3,Developing,195,4,22,61.3,5,51,23,0.2,2124.662666,4515429,0.748,15.3
172,1,77.1,Developing,75,1,99,64.2,1,99,99,0.1,3911.74689,,0.836,13.3
173,1,81.2,Developed,69,3,,66.6,4,96,96,0.1,,,,
174,1,61.8,Developing,279,85,98,23.8,119,96,98,1.4,,,,
175,1,79.3,Developed,13,23,92,69.6,26,93,95,0.1,,,,
176,1,77,Developing,116,0,95,64,0,95,95,0.1,15524.84247,3431552,0.794,15.5
177,1,69.4,Developing,184,15,99,44.7,17,99,99,0.1,2137.576852,312989,0.697,12.1
178,1,72,Developing,13,0,64,53.3,0,65,64,0.1,285.83414,26463,0.598,10.8
179,1,74.1,Developing,157,9,87,62.1,10,87,87,0.1,,,0.769,14.3
180,1,76,Developing,127,28,97,17.5,35,97,97,0.1,,,0.678,12.6
181,1,65.7,Developing,224,37,69,41.3,47,63,69,0.1,,,0.499,9
182,1,61.8,Developing,33,27,9,23.4,40,9,9,4.1,1313.889646,161587,0.576,12.5
183,1,67,Developing,336,22,87,31.8,32,88,87,6.2,118.69383,15777451,0.507,10.3
